PSC;NAZEV;PLATI_OD;PLATI_DO
277 07;Vraňany;01.07.2011 00:00:00;
277 08;Ledčice;01.07.2011 00:00:00;
277 11;Neratovice;01.07.2011 00:00:00;
277 13;Kostelec nad Labem;01.07.2011 00:00:00;
277 14;Dřísy;01.07.2011 00:00:00;
277 15;Tišice;01.07.2011 00:00:00;
277 16;Všetaty;01.07.2011 00:00:00;
277 21;Liběchov;01.07.2011 00:00:00;
277 23;Kokořín;01.07.2011 00:00:00;
277 24;Vysoká u Mělníka;01.07.2011 00:00:00;
277 31;Velký Borek;01.07.2011 00:00:00;
277 32;Byšice;01.07.2011 00:00:00;
277 33;Řepín;01.07.2011 00:00:00;
277 34;Nebužely;01.07.2011 00:00:00;
277 35;Mšeno u Mělníka;01.07.2011 00:00:00;
277 36;Lobeč;01.07.2011 00:00:00;
277 37;Chorušice;01.07.2011 00:00:00;
277 38;Mělnické Vtelno;01.07.2011 00:00:00;
277 41;Kly;01.07.2011 00:00:00;
277 42;Obříství;01.07.2011 00:00:00;
277 43;Chlumín;01.07.2011 00:00:00;
277 44;Vojkovice u Kralup nad Vltavou;15.08.2014 00:00:00;
277 45;Úžice u Kralup nad Vltavou;15.08.2014 00:00:00;
277 46;Veltrusy;01.07.2011 00:00:00;
277 51;Nelahozeves;01.07.2011 00:00:00;
277 52;Nová Ves u Mělníka;01.07.2011 00:00:00;
278 01;Kralupy nad Vltavou 1;01.07.2011 00:00:00;
280 01;Kolín 1;01.07.2011 00:00:00;
280 02;Kolín 2;01.07.2011 00:00:00;
281 01;Velim;01.07.2011 00:00:00;
281 02;Cerhenice;01.07.2011 00:00:00;
281 03;Radim u Kolína;01.07.2011 00:00:00;
281 04;Plaňany;01.07.2011 00:00:00;
281 06;Vitice;01.07.2011 00:00:00;
281 07;Svojšice u Kolína;01.07.2011 00:00:00;
281 21;Červené Pečky;01.07.2011 00:00:00;
281 23;Starý Kolín;01.07.2011 00:00:00;
281 25;Konárovice;01.07.2011 00:00:00;
281 26;Týnec nad Labem;01.07.2011 00:00:00;
281 27;Krakovany v Čechách;01.07.2011 00:00:00;
281 28;Radovesnice;01.07.2011 00:00:00;
281 29;Žiželice nad Cidlinou;01.07.2011 00:00:00;
281 30;Ohaře;01.07.2011 00:00:00;
281 41;Ratboř;01.07.2011 00:00:00;
281 43;Bečváry;01.07.2011 00:00:00;
281 44;Zásmuky;01.07.2011 00:00:00;
281 46;Horní Kruty;01.07.2011 00:00:00;
281 51;Velký Osek;01.07.2011 00:00:00;
281 61;Kouřim;01.07.2011 00:00:00;
281 62;Oleška u Českého Brodu;01.07.2011 00:00:00;
281 63;Kostelec nad Černými Lesy;01.07.2011 00:00:00;
281 66;Jevany;01.07.2011 00:00:00;
281 67;Stříbrná Skalice;01.07.2011 00:00:00;
281 71;Rostoklaty;01.07.2011 00:00:00;
282 01;Český Brod;01.07.2011 00:00:00;
284 01;Kutná Hora 1;01.07.2011 00:00:00;
284 03;Kutná Hora 3;01.07.2011 00:00:00;
284 04;Kutná Hora 4;01.07.2011 00:00:00;
285 01;Miskovice u Kutné Hory;01.07.2011 00:00:00;
285 02;Suchdol u Kutné Hory;01.07.2011 00:00:00;
285 04;Uhlířské Janovice;01.07.2011 00:00:00;
285 06;Sázava;01.07.2011 00:00:00;
285 07;Rataje nad Sázavou;01.07.2011 00:00:00;
285 09;Kácov;01.07.2011 00:00:00;
285 10;Čestín;01.07.2011 00:00:00;
285 11;Nepoměřice;01.07.2011 00:00:00;
285 21;Zbraslavice;01.07.2011 00:00:00;
285 22;Zruč nad Sázavou 1;01.07.2011 00:00:00;
285 23;Vlastějovice;01.07.2011 00:00:00;
285 25;Bohdaneč u Zbraslavic;01.07.2011 00:00:00;
285 31;Nové Dvory u Kutné Hory;01.07.2011 00:00:00;
285 32;Hlízov;01.07.2011 00:00:00;
285 33;Církvice u Kutné Hory;01.07.2011 00:00:00;
285 41;Malešov;01.07.2011 00:00:00;
285 42;Červené Janovice;01.07.2011 00:00:00;
